Material	Short text	SKF	FAG	SNR	KOYO	EZO	NTN	NSK	RHP	ROLLWAY	TIMKEN	INA		
100362748	Подшипник 51208				Подшипник KOYO 51208									
100380837	Подшипник 7000105	Подшипник SKF 16005	Подшипник FAG 16005	Подшипник SNR 16005	Подшипник Koyo 16004			Подшипник NSK 16005						
100380934	Подшипник 22312EAW33			Подшипник SNR 22312EAW33										
100380935	Подшипник 22314EAW33			Подшипник SNR 22314EAW33										
100380984	Уплотнподшип Cooper ATLHT 75 mm(VITON)													
100380986	Уплот подшип Cooper ATLHT 70 mm(VITON)													
100382991	Подшипник 80027	Подшипник SKF 627-2Z	Подшипник FAG 627-2Z		Подшипник KOYO 627-2Z		Подшипник NTN 627ZZ							
100385214	Подшипник 22315EAW33			Подшипник SNR 22315EAW33										
100385216	Подшипник 22316EAW33			Подшипник SNR 22316EAW33										
100385217	Подшипник 22318EAW33C3			Подшипник SNR 22318EAW33C3										
100390033	Подшипник 22340EAW33			Подшипник SNR 22340EAW33										
100390050	Подшипник 22320EAW33			Подшипник SNR 22320EAW33										
100390083	Подшипник 52205				Подшипник KOYO 52205									
100390284	Подшипник 3204				Подшипник KOYO 3204									
100390893	Подшипник 608Z				Подшипник KOYO 608Z									
100390932	Подшипник 623Z			Подшипник SNR 623Z	Подшипник KOYO 623Z									
100391324	Подшипник 625Z				Подшипник KOYO 625Z									
100391327	Подшипник 626Z				Подшипник KOYO 626Z									
100391507	Подшипник 1306	Подшипник SKF 1306ETN9	Подшипник FAG 1306-TVH	Подшипник SNR 1306	Подшипник KOYO 1306		Подшипник NTN 1306S	Подшипник NSK 1306						
100392554	Подшипник 80027С1	Подшипник SKF W627-2Z	Подшипник FAG 627-2Z 		Подшипник KOYO 627-2Z		Подшипник NTN 627ZZ	Подшипник NSK 627 ZZ						
100392555	Подшипник 80201	Подшипник SKF 6201-2Z	Подшипник FAG 6201-C-2Z	Подшипник SNR 6201ZZ	Подшипник KOYO 6201-2Z		Подшипник NTN 6201ZZ	Подшипник NSK 6201ZZ						
100392556	Подшипник 80307	Подшипник SKF 6307-2Z	Подшипник FAG 6307-2Z	Подшипник SNR 6307FT150ZZ	Подшипник KOYO 6307-2Z		Подшипник NTN 6307ZZ	Подшипник NSK 6307ZZ						
100392557	Подшипник 80801	Подшипник SKF 16101-2Z	Подшипник FAG 16101.2ZR								Подшипник Timken 16101 ZZ			
100393476	Подшипник 627Z				Подшипник KOYO 627Z									
100393477	Подшипник 52207				Подшипник KOYO 52207									
100393667	Подшипник 629Z				Подшипник KOYO 629Z									
100393668	Подшипник 6006Z				Подшипник KOYO 6006Z									
100393669	Подшипник ЕN12							Подшипник NSK ЕN12						
100393680	Подшипник 6201Z				Подшипник KOYO 6201Z									
100394363	Подшипник 6202Z				Подшипник KOYO 6202Z									
100394364	Подшипник 6203Z				Подшипник KOYO 6203Z									
100394779	Подшипник 6204Z				Подшипник KOYO 6204Z									
100394811	Подшипник 6205Z				Подшипник KOYO 6205Z									
100401254	Подшипник 6208Z				Подшипник KOYO 6208Z									
100408614	Подшипник 52205				Подшипник KOYO 52205									
100479480	Подшипник 8208	Подшипник SKF 51208	Подшипник FAG 51208	Подшипник SNR 51208	Подшипник KOYO 51208		Подшипник NTN 51208	Подшипник NSK 51208						
100481024	Подшипник 52207				Подшипник KOYO 52207									
100481027	Подшипник 6218Z				Подшипник Koyo 6218Z		Подшипник NTN 6218Z							
100481127	Подшипник 623			Подшипник SNR 623	Подшипник KOYO 623									
100482580	Подшипник 625			Подшипник SNR 625			Подшипник NTN 625							
100486240	Подшипник 626				Подшипник KOYO 626									
100486241	Подшипник 6307Z				Подшипник KOYO 6307Z									
